Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,Category,Product,Quantity,Unit_Price,Discount,Payment_Mode,Salesperson,Customer_Rating,Returned
1001,2025-01-03,C001,Ravi,Male,24,Visakhapatnam,Electronics,Laptop,1,55000,0.05,UPI,Arjun,4.5,No
1002,2025-01-05,C002,Priya,Female,29,Srikakulam,Furniture,Chair,2,4500,0.10,Card,Sneha,4.2,No
1003,2025-01-08,C003,Kiran,Male,35,Vijayawada,Electronics,Mobile,2,22000,0.08,UPI,Arjun,3.8,Yes
1004,2025-01-10,C004,Anjali,Female,31,Hyderabad,Clothing,Dress,3,2500,0.15,Cash,Rahul,4.6,No
1005,2025-01-14,C005,Ramesh,Male,42,Visakhapatnam,Electronics,Headphones,4,1800,0.05,Card,Sneha,4.1,No
1006,2025-01-18,C006,Divya,Female,26,Srikakulam,Beauty,Skincare,5,1200,0.10,UPI,Arjun,4.7,No
1007,2025-01-22,C007,Suresh,Male,38,Vijayawada,Furniture,Table,1,8500,0.12,Card,Rahul,3.9,Yes
1008,2025-01-25,C008,Lakshmi,Female,45,Hyderabad,Clothing,Saree,2,3200,0.08,Cash,Sneha,4.4,No
1009,2025-02-02,C009,Manoj,Male,28,Visakhapatnam,Electronics,Tablet,2,18000,0.05,UPI,Arjun,4.0,No
1010,2025-02-06,C010,Pooja,Female,33,Srikakulam,Beauty,Makeup,6,900,0.10,Card,Rahul,4.3,No
1011,2025-02-09,C011,Naresh,Male,40,Vijayawada,Electronics,Laptop,1,58000,0.07,UPI,Sneha,3.7,Yes
1012,2025-02-13,C012,Swathi,Female,27,Hyderabad,Clothing,Jeans,4,1800,0.12,Cash,Arjun,4.5,No
1013,2025-02-17,C013,Venkat,Male,36,Visakhapatnam,Furniture,Sofa,1,25000,0.10,Card,Rahul,4.1,No
1014,2025-02-21,C014,Meena,Female,30,Srikakulam,Beauty,Perfume,3,2200,0.05,UPI,Sneha,4.8,No
1015,2025-02-25,C015,Harish,Male,48,Vijayawada,Electronics,Mobile,1,25000,0.15,Cash,Arjun,3.6,Yes
10016,2025-03-02,C016,Keerthi,Female,25,Hyderabad,Clothing,Top,5,1200,0.10,UPI,Rahul,4.4,No
1017,2025-03-06,C017,Ajay,Male,32,Visakhapatnam,Furniture,Chair,3,4800,0.08,Card,Sneha,4.0,No
1018,2025-03-10,C018,Sandhya,Female,39,Srikakulam,Beauty,Skincare,4,1500,0.12,UPI,Arjun,4.6,No
1019,2025-03-15,C019,Ravi,Male,29,Vijayawada,Electronics,Headphones,5,2000,0.05,Card,Rahul,4.2,No
1020,2025-03-20,C020,Deepa,Female,34,Hyderabad,Furniture,Table,2,9000,0.10,Cash,Sneha,3.9,Yes
10021,2025-03-25,C021,Krishna,Male,44,Visakhapatnam,Electronics,Tablet,1,19000,0.07,UPI,Arjun,4.3,No
1022,2025-04-01,C022,Shalini,Female,28,Srikakulam,Clothing,Dress,2,2800,0.15,Card,Rahul,4.5,No
1023,2025-04-05,C023,Mohan,Male,37,Vijayawada,Furniture,Sofa,1,27000,0.08,UPI,Sneha,4.0,No
1024,2025-04-09,C024,Anu,Female,41,Hyderabad,Beauty,Makeup,7,950,0.10,Cash,Arjun,4.7,No
1025,2025-04-15,C025,Surya,Male,33,Visakhapatnam,Electronics,Laptop,2,60000,0.05,Card,Rahul,4.1,No
1026,2025-04-20,C026,Geetha,Female,36,Srikakulam,Clothing,Saree,3,3500,0.12,UPI,Sneha,4.4,No
1027,2025-04-25,C027,Rajesh,Male,46,Vijayawada,Furniture,Table,2,9200,0.15,Cash,Arjun,3.8,Yes
1028,2025-05-02,C028,Nisha,Female,24,Hyderabad,Beauty,Perfume,4,2300,0.05,Card,Rahul,4.6,No
1029,2025-05-07,C029,Vijay,Male,31,Visakhapatnam,Electronics,Mobile,3,24000,0.08,UPI,Sneha,4.2,No
1030,2025-05-12,C030,Asha,Female,29,Srikakulam,Clothing,Jeans,5,1900,0.10,Cash,Arjun,4.5,No
